question,answer,similar_questions
"My Desktop license shows expired, but my mobile is still active (I have a Combo plan). Why is this happening, and what should I check?","In a **Combo (Mobile + Desktop) plan**, the **mobile license and desktop license are separate components**.

- **License validity starts from the date it is attached to each device**
- Mobile and Desktop licenses can be **attached on different dates**
- Because of this, **one device can show expiry earlier than the other**

#### **Possible reasons why Desktop shows expired**
- The **Desktop license is not attached** to the PC
- The **Desktop license is attached to another PC**
- The **Desktop part of the combo was attached earlier** and has expired before the mobile part

#### **What you should do**
- Check whether the **Desktop license is attached** on the required PC
- If not attached, **attach the Desktop license separately** on the PC from **Plans & Pricing**
- Ensure the Desktop license is **not attached to another device**

Once the Desktop license is correctly attached to the intended PC, the issue should be resolved.
","- Mobile chal raha hai par desktop me license expired kyu dikha raha hai?
- Combo plan liya hai, phir bhi desktop me problem kyu aa rahi hai?
- Kya mobile aur desktop license alag-alag hote hain?
- Desktop license attach nahi hua hoga kya?
- Dusre PC me desktop license laga hua ho sakta hai kya?
- Desktop ka license pehle expire ho gaya aur mobile baad me kyu?
"
How can I change my license’s registered mobile number or email?,"You **cannot change the license-registered mobile number or email from the app or user side** due to security reasons.

To request a change, you must **contact Vyapar support by email**.

---

#### **Process to change registered mobile number or email**
Send an email to **service@vyaparapp.in** with the following details:

- **Old registered mobile number or email**
- **New mobile number or email**
- **License ID**
- **Payment proof** (invoice or transaction ID)
- **Reason for the change**

---

#### **Processing time**
- The request is processed within **24–48 hours**
- Changes are subject to **verification by the support team**

If verification is successful, the registered mobile number or email will be updated accordingly.
","- Mera license wala mobile number change ho sakta hai kya?
- License me email ID update kaise karein?
- Registered number galat hai, kaise correct hoga?
- Kya main app se license ka number change kar sakta hoon?
- License email change karne ke liye kya process hai?
- Support se number/email change karwana padega kya?
- **License number change karna hai, kaise hoga?**
"
Is barcode **scanner** usage free in Vyapar? Are there any license or platform restrictions?,"👉 **Note:** This information is about **barcode scanning (barcode scanner)**, **not barcode generation**.

---

#### **Is barcode scanner free?**
Yes. The **barcode scanner feature is free to use** in Vyapar.

However:
- To **create transactions or generate bills using barcode scanning**, a **paid Vyapar license** is required.
- Without a paid license:
  - You can **scan or view items**
  - You **cannot save bills or complete transactions**
---

#### **Platform-wise barcode scanner support**

- **Mobile App (Android & iOS)**:
  - Go to **Menu → Settings → Items**
  - Enable **Barcode Scan**
  - Barcode scanning works using:
    - The **mobile phone camera**, or
    - A **supported external barcode scanner**

- **Desktop App (Windows & Mac)**:
  - Go to **Menu → Settings → Items**
  - Enable **Barcode Scan**
  - Requires a **compatible external barcode scanner hardware**
  - The scanner must be properly connected to the desktop or laptop

---

#### **Important Checks**
To use **barcode scanning (scanner)** without issues:
- Ensure a **paid Vyapar license** is active and attached (for billing)
- Ensure **Barcode Scan** is enabled in **Settings → Items**
- Ensure the required **barcode scanner hardware** (for Desktop) is properly connected

","- Barcode scanner free hota hai kya Vyapar me?
- Barcode **scan** karne ke liye license lena padega kya?
- Free version me barcode **scanner** kaam karega kya?
- Mobile me barcode scanner kaise use hota hai?
- Desktop me barcode scan karne ke liye kya device chahiye?
- Kaunsa plan me barcode **scanner** feature available hota hai?
- Barcode scanner machine compulsory hoti hai kya?
"
"Earlier I was able to generate barcodes, but now I cannot. Why is this happening?","👉 **Note:** This issue is related to **barcode generation**, not barcode scanning.

Barcode **generation** features are available **only** in the following plans:
- **Retail Pro**
- **Manufacturing Pro**
- **Distributor Pro**
- **Vyapar Platinum**

Please first **confirm which license plan is currently attached** to the device.

---

#### **Possible reasons**
This issue can occur if:
1. The **license is detached** or **not attached** to the current device
2. A **Silver or Gold plan** is currently attached on the device
3. Earlier, a **barcode-generation-supported plan** was attached, but now a **Gold or Silver plan** has been attached to the device

---

#### **What you should do**
1. **Check which license is currently attached** on the device  
   - Guide the user to **view license details** from **Plans & Pricing → License Info**
2. If the attached plan is **Silver or Gold**:
   - Inform the user that **barcode generation is not supported** in these plans
   - Ask the user to:
     - **Upgrade to a higher plan**, or  
     - **Attach the already purchased higher plan** (if available)

---

#### **Important Note**
- If a **Gold or Silver plan** is currently attached on the device, and  
- The user already owns a **higher plan that supports barcode generation**,  

 The **currently attached license must be detached first**.  
Only after detaching it can the **barcode-generation-supported license** be attached to the current device.
","- Pehle barcode generate ho raha tha, abhi kyu nahi ho raha?
- Barcode generation option gayab kyu ho gaya?
- Mera barcode ka feature kaam kyu nahi kar raha?
- Kya plan change hone se barcode generate band ho jata hai?
- Gold ya Silver plan me barcode generate hota hai kya?
- Mere paas higher plan hai, phir bhi barcode generate kyu nahi ho raha?
"
How do I claim or activate a free Vyapar subscription received through IndiaMART?,"If your **Vyapar subscription is provided through IndiaMART**, follow the steps below:

- Check your **email from IndiaMART** for any Vyapar license-related message.
  - If the email includes a **“Request a Callback”** option, use it to raise the request.

If the user **needs more details** or **did not receive any communication from IndiaMART**:  
➡️ **Escalate the case to a senior agent** for further assistance and coordination with IndiaMART.
","- IndiaMART se mila Vyapar free subscription kaise activate hoga?
- IndiaMART offer ke through license mila hai, ab kya karna hoga?
- Mujhe IndiaMART ka email nahi mila, ab kya process hai?
- IndiaMART free months ka Vyapar plan kaise milega?
"
I referred a client for a Vyapar purchase. How can I check or verify the referral details?,"Referral **details and verification are not available at the user level**.

- Referral-related information is **handled only by a senior agent**
- Verification is done **from the backend**, based on referral records and purchase details

➡️ To check or verify referral details, **escalate the case to a senior agent**.  
The senior agent will review the referral information and update the user accordingly.
","- Maine apna client ko refer kiya hai, referral status kaise check hoga?
- Referral ka benefit mila ya nahi, kaise pata chalega?
- Mera referral count kaha dikhega?
- Refer kiya hua customer purchase kar chuka hai, verify kaise hoga?
- Referral details app me dikhti hain kya?
"
How do I confirm which mobile number or email is linked to my Vyapar license?,"You can confirm the **license-registered mobile number or email** based on **how the license was purchased**.

#### **If the license was purchased through a Vyapar agent**
- The **mobile number or email** that you **provided to the Vyapar agent at the time of purchase** is the **license-registered number or email**
- That same number/email is used for **license attachment and verification**

#### **If the license was purchased directly from the Vyapar app**
- The **mobile number or email used to log in to the Vyapar app at the time of purchase** becomes the **license-registered  number or email**
- The license is automatically linked to that login number/email

---

#### **When to Escalate**
- If the user **does not remember** which mobile number or email was used at the time of purchase, or  
- If the user is **unable to verify the registered details on their own**  

➡️ **Escalate the case to a senior agent**.  
The senior agent will **check the backend records** and inform the user about the **correct license-registered mobile number or email**.
","- Mera Vyapar license kis number se linked hai?
- License ka registered mobile number kaunsa hai?
- License email ID kaise pata chalegi?
- Agent ke through license liya tha, registered number kaunsa hoga?
- App se license buy kiya tha, kaunsa number linked hota hai?
- Mujhe yaad nahi hai maine kaun sa number diya tha
"
"Can I change my existing Vyapar plan (for example, from 1 Desktop + 1 Mobile to 2 Mobiles)?","You **cannot directly convert one device type into another**  
(for example, **Desktop → Mobile** or **Mobile → Desktop**).

To change from **1 Desktop + 1 Mobile** to **2 Mobile devices**, you must choose one of the following options:
- **Purchase an additional mobile license**, or
- **Buy a new plan** based on your business requirement

#### **Important Notes**
- The **existing license validity remains unchanged**
- Device-type conversion is **not supported**
- Licenses are **device-specific**

If the user is unsure which option to choose or needs assistance, **escalate the case to a senior agent** for guidance.
","- Mera 1 PC + 1 Mobile plan hai, kya 2 Mobile me change ho sakta hai?
- Desktop license ko mobile me convert kar sakte hain kya?
- Existing plan ko modify kar sakte hain kya?
- Ek device type se dusre device type me plan change possible hai?
- Mujhe sirf mobile license chahiye, desktop wala kaise change hoga?
- Plan conversion ka option hota hai kya?
"
"I renewed my Vyapar plan, but the plan or expiry date has not updated and I am still being asked to renew. Why?","If you have **renewed your Vyapar plan** but the **plan or expiry date has not updated**, this usually happens because the **correct license is not attached to the device** you are currently using.

#### **What you should check first**
- Ensure that the **renewed license is attached** to the current device  
  (premium features work only when the license is attached)

#### **Why this issue can occur**
- The license is **attached to another device**
- The **renewal transaction needs verification**
- The license attachment or renewal status requires **backend correction**

#### **When to Escalate**
If:
- Payment is successful, and  
- The plan or expiry date is **still not updated**, or  
- The app continues to ask you to renew  

➡️ **Escalate the case to a senior agent**.  

The senior agent will **verify the renewal**, **correct the license attachment**, and ensure the **updated plan and validity** are applied to the required device.
","- Maine Vyapar plan renew kiya hai, phir bhi renew ka message kyu aa raha hai?
- Payment ho gaya hai, par expiry date update nahi hui
- Renew karne ke baad bhi premium active kyu nahi ho raha?
- App abhi bhi renew karne ko bol raha hai
- License renew ho gaya hai, par attach nahi dikh raha
"
"I am able to create bills or use features on mobile, but on Desktop (or vice versa) I cannot create bills or access premium features. Why is this happening?","This issue usually depends on the **type of license you have purchased** and whether the **license is attached to the correct device**.
---

#### **Step 1: Check the license type**
First, confirm which type of license you have purchased:
- **Desktop + Mobile (Combo) plan**, or
- **Desktop-only license**, or
- **Mobile-only license**

---

#### **Step 2: Understand how your license works**

**If you purchased a Desktop + Mobile (Combo) plan:**
- The license works on **both Desktop and Mobile**
- If it is not working on one device, it means the **license is not attached** to that device  
  → Attach the license on the device where it is not working

**If you purchased only a Desktop license:**
- The license works **only on the Desktop app**
- It will **not work on the Mobile app**

**If you purchased only a Mobile license:**
- The license works **only on the Mobile app**
- It will **not work on the Desktop app**

---

#### **Important Notes**
- **One Desktop license** works on **one Desktop device only**
- **One Mobile license** works on **one Mobile device only**
- To use Vyapar on **both Mobile and Desktop**, you must purchase a **Desktop + Mobile (Combo) plan**

---

#### **When to Escalate**
If:
- The **license type is correct**, and  
- The license is **already attached**, but  
- The app is **still not working on one device**,  

➡️ **Escalate the case to a senior support agent** to verify the license and attach it correctly from the backend.

---

#### **Quick Summary**
- Works on one device only → **License type limitation**
- Combo plan → **License must be attached on both devices**
- Single-device plan → **Works only on the purchased device**
- Issue still unresolved → **Escalate to senior agent**
","- Mobile me bill ban raha hai par desktop me kyu nahi ban raha?
- Desktop chal raha hai par mobile me premium feature kyu locked hai?
- Ek device me license active hai aur dusre me nahi, aisa kyu?
- Combo plan hone ke baad bhi ek device me issue kyu aa raha hai?
- Kya license attach na hone ki wajah se problem aa sakti hai?
"
I want to upgrade my current Vyapar plan to a higher plan. How much do I need to pay?,"You can **upgrade your current Vyapar plan to a higher plan at any time**.

However, the **upgrade amount is not fixed** and depends on multiple factors, such as:
- Your **current plan**
- The **plan you want to upgrade to**
- The **remaining validity** of your existing license

Because the **upgrade price varies for each user**, the exact amount and eligibility **cannot be shared directly at the user level**.

➡️ **Escalate the case to a senior agent**.  
The senior agent will **manually check the upgrade eligibility**, calculate the **exact payable amount**, and guide you through the upgrade process.
","- Main apna Vyapar plan upgrade karna chahta hoon, kitna paisa lagega?
- Silver se Gold ya higher plan me upgrade ka charge kya hota hai?
- Upgrade amount kaise calculate hota hai?
- Mera plan beech me chal raha hai, upgrade possible hai kya?
- Remaining validity ke hisaab se upgrade price change hota hai kya?
- Kya exact upgrade price abhi bata sakte ho?
"
I have purchased multiple Vyapar licenses. Can I merge all my licenses into one?,"If you have **purchased multiple Vyapar licenses** and want to **merge them**, this request **cannot be done from the user end**.

---

#### **Process to request license merge**
To request a license merge or related assistance:
- Send an email to **support@vyaparapp.in**
- Include the following details in the email:
  - **All license IDs** that need to be merged
  - **License-registered mobile number or email ID**

---

#### **What happens next**
- The **Vyapar support team** will review your request
- You can expect a response within **48 business hours**

---

#### **When to Escalate**
- If the user needs further assistance, or  
- If there is no response within the expected time  

 **Escalate the case to a senior agent** for follow-up and resolution.
","- Maine multiple Vyapar licenses liye hain, kya unko merge kar sakte hain?
- Do ya zyada license ko ek me combine karna possible hai kya?
- Mere paas multiple license IDs hain, unko kaise merge karein?
- Ek hi account me sab licenses kaise manage honge?
- License merge ka process kya hai?
- Support se license merge karwana padega kya?
- **Maine galti se 2 license le liye hain, ab dono ko merge karwana hai**
"
"What is a “Sale Day” in Vyapar, and when will the next sale happen?","A **Sale Day** is a **limited-time promotional period** during which Vyapar may offer **special pricing or discounts** on selected plans.

#### **Important points to know**
- Sale Days are **not fixed** and **do not occur on specific or recurring dates**
- They are announced based on:
  - **Marketing campaigns**
  - **Festivals**
  - **Internal promotions**
- The **exact date of the next Sale Day is not pre-announced**
- Discounts **cannot be guaranteed in advance**

To stay updated about upcoming Sale Days, users should:
- Watch for **in-app notifications**
- Check **official Vyapar announcements**
- Follow **emails or promotional messages** from Vyapar
","- Vyapar ka Sale Day kya hota hai?
- Sale Day me sasta plan milta hai kya?
- Next Vyapar sale kab aayegi?
- Kya Sale Day har month aata hai?
- Festival ke time Vyapar discount deta hai kya?
- Aaj ya kal koi sale chal rahi hai kya?
"
"How will I be notified about offers, and where can I see the sale banner in Vyapar?","You are notified about **Vyapar offers and sales** through multiple channels.

#### **How you are notified about offers**
- **In-app banners or pop-ups**
- **Emails** sent to your **registered email ID**
- **Notifications** inside the **Mobile App** or **Desktop App**

#### **Where you can see the sale banner**
Sale banners are displayed on:
- The **Home screen**
- The **Plans & Pricing** page
- The **Buy Now** screen

These banners and notifications appear **only when an active offer or sale is running**.
","- Vyapar ke offers ki information kaise milegi?
- Sale ya discount ka notification kaha aata hai?
- App me sale banner kaha dikhta hai?
- Email par offer ki details aati hain kya?
- Desktop app me sale ka message kaha show hota hai?
- Mujhe kaise pata chalega ki koi sale chal rahi hai?
"
Are Vyapar prices already discounted? Can I get extra discounts or long-term plan discounts?,"The prices shown on the **Vyapar app or website are already discounted**, wherever applicable.

#### **Discount and pricing details**
- **Additional or extra discounts** are available **only during active Sale Days**
- The **discount amount varies** based on the campaign and is decided by the concerned team
- **Sale offers are valid only for the sale period**
  - Past or one-day sale offers **cannot be applied later**
- Vyapar currently offers **1-year and 3-year plans**
  - No other long-term durations are available at this time

#### **Renewal discount**
- A **10% renewal discount** is **automatically applied**
- This discount is **already included** in the renewal amount shown before payment

---

#### **Important Note**
- If the user is **not satisfied with the 10% renewal discount**, or  
- If the user has **already purchased one license and is requesting an additional discount while buying another license**,  

➡️ **Escalate the case to a senior agent** for further review and assistance.
","- Kya Vyapar ke prices pehle se discounted hote hain?
- Extra discount mil sakta hai kya?
- Long-term plan lene par discount milta hai kya?
- Sale ke baad bhi discount apply ho sakta hai kya?
- Renewal par discount milta hai kya?
- Maine ek license le liya hai, dusra lete time extra discount milega kya?
"
I keep seeing sale banners or discount popups even after buying a Vyapar plan. Can I remove them?,"Sale banners and discount notifications are **shown to all users** in the Vyapar app **during active sale or offer days**, even if a license is already purchased.

#### **Important points to understand**
- Sale banners and in-app notifications **cannot be removed manually**
- There is **no option to permanently disable sale banners**
- These banners **do not affect your active license or features**
- Your purchased plan remains **fully active and unaffected**

#### **SMS notification option**
- You can **opt out of sale-day SMS notifications** sent to your registered mobile number
- However, **in-app sale banners will still appear** on the sale day

---

#### **When to Escalate**
- If the user is **not satisfied with this explanation** or insists on removing the banners  

➡️ **Escalate the case to a senior agent** for further clarification and handling.
","- Maine license le liya hai, phir bhi sale banner kyu dikh raha hai?
- Discount popup kaise remove karein?
- Sale notification band ho sakti hai kya?
- License active hone ke baad bhi offer banner aa raha hai
- Sale ka message mujhe nahi chahiye, kaise stop karein?
"
How can I refer someone using the Vyapar app?,"You can refer someone using the **Refer & Earn** option in the Vyapar app by following the steps below.

---

#### **Vyapar Mobile App (Android & iOS)**
- Open the app and go to **Menu / More**
- Tap **Refer & Earn**
- Select the **party you want to refer**
- Click **Refer**

---

#### **Vyapar Desktop App (Windows & Mac)**
- Open the app and go to **Menu**
- Click **Refer & Earn**
- Select the **party you want to refer**
- Click **Refer**

---

#### **When to Escalate**
- If the customer wants to **share client details verbally** and asks the agent to **refer the client from the agent’s end**  

➡️ **Escalate the case to a senior agent**.  
Inform the customer that a **senior agent will handle the referral** and proceed accordingly.
","- Vyapar me refer kaise karein?
- Refer & Earn option kaha milega?
- Mobile app se client refer ho sakta hai kya?
- Desktop app me referral ka process kya hai?
- Main kisi ko Vyapar refer karna chahta hoon, kaise hoga?
- Kya aap mere behalf par client refer kar sakte ho?
"
"What do I get for each referral, and do I need a license to refer someone in Vyapar?","For **each successful referral**, you typically receive **one month of license extension** added to your Vyapar account.

#### **Referral reward details**
- Each **successful referral = 1 month license extension**
- **Multiple successful referrals** add **multiple months** of extension
- The extension is added to the **existing license validity**

#### **License requirement for referral**
- You **must have an active Vyapar license** to refer someone
- Referrals **cannot be added or modified after a license is generated**
- Referral benefits apply **only to active, eligible accounts**

#### **Important Note**
- In some cases, **referral rewards or eligibility conditions may vary**
- To check the **exact referral terms** applicable to your account:
  - Open the app and go to **Refer & Earn**
  - Review the details shown there

Referral benefits are applied as per **Vyapar’s current Refer & Earn policy** and applicable terms.
","- Ek referral par mujhe kya benefit milega?
- Refer karne par kitne din ka license extend hota hai?
- Kya bina license ke main refer kar sakta hoon?
- Referral ka reward kab add hota hai?
- Agar main multiple log refer karu to kya fayda milega?
- License generate hone ke baad referral add ho sakta hai kya?
"
"What counts as a successful referral in Vyapar, and how can referral issues be resolved?","A **referral is considered successful** only when **both** of the following conditions are met:
- The client **uses your referral link or referral code**, and
- The client **completes a paid Vyapar license purchase**

---

#### **Common reasons for referral issues**
- The client **did not use** your referral link or code
- The client **already had a Vyapar account** before the referral
- The purchase was made using a **different mobile number or email ID**

---

#### **What to do if there is a dispute**
- If you believe a referral was **missed or not tracked correctly**:
  - ➡️ **Escalate the case to a senior agent**
  - Share the **client’s details** (as available) for verification

The senior agent will verify the records and update you on the referral status.
","- Kya mera referral successful maana jayega?
- Referral ka benefit kab milega?
- Client ne purchase kiya hai par referral count nahi dikha raha
- Referral track kyu nahi hua?
- Client ne code use nahi kiya, kya referral milega?
- Referral dispute ho to kya karna chahiye?
"
How can I download or print the invoice / GST invoice for my Vyapar subscription or Gold membership?,"You can **download or print your payment invoice or GST invoice** for your Vyapar subscription **after purchase or renewal**.

---

#### **Where invoices are available**
- Invoices are linked to the **mobile number or email used during payment**
- All invoices are available on the **Vyapar website**

---

#### **Steps to download or print the invoice**
- Open any browser and visit **vyaparapp.in**
- Click **Login**
- Log in using the **license-registered mobile number or email**
- Go to **My Account**
- Click **My Invoice**
- **View, download, or print** the required invoice or GST invoice

---

#### **Important GST Invoice Note**
- Your **GST number appears on the invoice only if it was entered at the time of license purchase**
- If **GST details were not provided during purchase**:
  - You will receive a **normal (non-GST) invoice**
- To receive a **GST tax invoice**, the GST number **must be entered during license purchase**

---


#### **When to Escalate**
➡️ **Escalate the case to a senior agent** if:
- The **GST number is missing** on the invoice despite being provided during purchase
- The customer **requests the tax invoice to be shared on their email ID**
- The customer is **unable to access or download the invoice from the website**

The senior agent will verify the records and assist accordingly.
","- Vyapar license ka bill ya invoice kaha se download karein?
- GST invoice kaise milega?
- Gold plan ka GST bill chahiye
- Mere bill par GST number kyu nahi dikh raha?
- License purchase ka tax invoice kaise nikalein?
- Kya aap invoice mere email par bhej sakte ho?
"
"The app is asking for a paid subscription when I try to create or edit bills, invoices, or estimates, even though I am using the free mobile app. How can I fix this?","This issue usually occurs because the **Sync feature is enabled**, which is a **premium feature** and requires an **active Vyapar license**.

---

#### **Why this happens**
- **Sync is a premium feature**
- If **Sync is enabled without a license attached**, the app will:
  - Ask for a **paid subscription**
  - **Block creation or editing** of invoices, sales, estimates, or bills
- Without a valid license, you can **only view existing data and reports**

---

## **Solution (Mobile App)**

### **Step 1: Check if a license is already purchased**

#### **Case 1: License is already purchased**
- Make sure the **license is attached to the current device**
- Go to **Menu → Plans & Pricing → License Info**
  - If license details are **visible** → License is attached
  - If license details are **not visible** → License is not attached  

  **Action:** Attach the license to the device  
Once attached:
- **Sync can remain ON**
- Premium features will work normally

---

#### **Case 2: License is NOT purchased (User wants to use free app)**
If the user wants to continue using the **free mobile app**:

**Disable Sync**
- Open the app
- Go to **Menu (More)**
- Tap **Sync & Share**
- Tap the **three dots (⋮)**
- Select **Disable Sync**

After disabling Sync:
- You will be able to **create and edit entries in free mode**

---

#### **Important Notes (Free Mode)**
- In free mode:
  - You can create **up to 5 bills per week**
- To remove this limitation and use all features:
  - A **paid Vyapar license** is required

---

#### **Data Safety Recommendation**
To keep your data safe while using free mode:
- Go to **Menu → Backup & Restore → Auto Backup**
- **Enable Auto Backup**

This ensures your data remains safe even without Sync enabled.
","- Free app use kar raha hoon, phir bhi subscription kyu maang raha hai?
- Bill banate time license ka message kyu aa raha hai?
- Sync ON karte hi app paid bolne lagta hai
- Free version me invoice edit kyu nahi ho raha?
- Bina license ke app kaise use karein?
"
Do I need a separate Vyapar license for each device I connect via Sync?,"Yes. **Vyapar licenses are device-based, not Sync-based**.

#### **Important points to understand**
- Even if multiple devices are **connected using Sync**:
  - **Each device** that **creates or edits transactions** must have its **own license**
- **Sync is only for data sharing**
  - It **does not share or transfer a license** between devices

#### **Summary**
- **License = Device-based**
- **Sync = Data sharing only**
- Multiple devices creating/editing data → **Separate licenses required for each device**

To avoid restrictions on any synced device, ensure that a **valid license is attached to each device** where transactions are created or edited.

","- Sync use karne par ek hi license sab devices par chalega kya?
- Kya Sync se license share ho jata hai?
- Multiple devices sync hain, phir bhi alag license kyu chahiye?
- Mobile aur desktop sync hain, to license ek hi kaafi hai kya?
- Sync ke through bill bana sakte hain bina extra license ke?
"
What is the difference between the Vyapar Mobile App and the Desktop App ?,"The **Vyapar Mobile App** and **Vyapar Desktop App** are designed for **different business needs**, which is why their **features and pricing differ**.

---

## **Vyapar Mobile App**

The Vyapar Mobile App is available on:
- **Android**
- **iOS**

### **Unique features available in Vyapar Android (not available on iOS)**
- App language support (Hindi & English)
- Customizable messages and bulk messaging
- Vyapar themes (Standard, Trending, Modern)
- Live party statement link
- Invite parties to add themselves
- Purchase ageing report
- Fingerprint lock
- Import from My Bill Book
- GST transaction report
- E-sign
- Vaani
- Visiting card
- E-invoicing

**Note:**  
There are **no unique features in the iOS app** that are not already available in Android.

---

## **Vyapar Desktop App**

The Vyapar Desktop App is available on:
- **Windows**
- **Mac**

### **Major features available in Vyapar Desktop (mainly Windows)**
- Bulk update items
- **Barcode generation**
- Export to Tally
- Generate E-Way Bills
- Graphical reports
- Quick entry
- Show last 5 sale prices of items
- Bulk printing
- E-invoicing
- POS / Quick billing
- Import from Tally
- Audit trail
- Rearrangement of items
- Bulk assign item codes
- Import items from barcode
- WhatsApp personalization
- Convert multiple delivery challans and sales orders
- Global search
- Journal vouchers
- Chart of accounts
- Marketing tools
- Ads manager
- Rearrangement and customization of item tables
- Accountant access
- Customizable views
- EDC machine integration
- Weighing scale integration
- Google profile manager
- Lite sale
- Stop negative sale
- Block new items from transaction form
- Block new parties from transaction form
- Multiple sales bill tabs
- Razorpay integration

### **Mac limitation (compared to Windows)**
The following features are **not available on Mac**:
- Import from Tally
- Accountant access
","- Mobile aur Desktop Vyapar app me kya difference hai?
- Desktop license mobile se mehnga kyu hota hai?
- Kya Desktop app me zyada features milte hain?
- Android aur iOS app me feature difference kya hai?
- Windows aur Mac Desktop app me kya difference hai?
- Sirf mobile use karu ya desktop better rahega?
"
Why is the Vyapar Desktop license priced higher than the Mobile license?,"
The **Vyapar Desktop license is priced higher** because it provides **advanced business, accounting, and operational features** that are **not available or are limited on the mobile app**. It is designed for **high-volume billing, accounting, and professional business use**.

---

#### **Key reasons why Desktop license costs more**

##### **1. Advanced accounting & compliance features**
The Desktop app supports:
- Full **accounting module**
- **Audit trail**
- **Journal vouchers**
- **Chart of accounts**
- **Accountant access**
- Detailed **profit & loss and financial reports**

These features are critical for businesses that require **proper bookkeeping and compliance**.

---

##### **2. High-volume billing & POS operations**
Desktop license supports:
- **POS / Quick billing**
- **Multiple sales bill tabs**
- **Bulk printing**
- **Quick entry**
- **Lite sale**
- **Stop negative sale**

This makes Desktop suitable for **retail stores, wholesalers, and distributors** handling large daily transactions.

---

##### **3. Bulk operations & automation**
Desktop allows:
- **Bulk update of items**
- **Bulk assign item codes**
- **Rearrangement and customization of item tables**
- **Global search**
- **Convert multiple delivery challans and sales orders**
- **Import from Tally / Export to Tally**

These save time and reduce manual effort, which is not possible on mobile.

---

##### **4. Hardware & third-party integrations**
Desktop supports professional integrations such as:
- **Barcode generation**
- **EDC machine integration**
- **Weighing scale integration**
- **Razorpay integration**
- **POS hardware compatibility**

These integrations are essential for **store-based and accountant-driven businesses**.

---

##### **5. Designed for professional & multi-user environments**
The Desktop app is built for:
- **Accountants**
- **Multi-firm and multi-user setups**
- **Businesses managing large inventories and reports**

This level of control and scalability is not required by most mobile-only users.

---

#### **Why Mobile license is cheaper**
The Mobile app is optimized for:
- On-the-go billing
- Small businesses
- Basic invoicing and inventory
- Lower transaction volume
- Fewer integrations and controls

---

#### **Simple explanation**
- **Mobile license** → Basic billing, portability, lower cost  
- **Desktop license** → Advanced accounting, POS, automation, integrations, higher cost  

You are paying more for the Desktop license because it delivers **powerful tools that directly support larger operations, compliance, and efficiency**.
","- Desktop license mobile se mehnga kyu hota hai?
- Mobile aur Desktop plan me itna price difference kyu hai?
- Desktop license lene ka extra fayda kya hai?
- Sirf mobile kaam chal jayega ya desktop lena better hai?
- Desktop license me aisa kya milta hai jo mobile me nahi hai?
"
"A user needs a feature in the Vyapar app, but the feature is not available and the user is very frustrated. How should this be handled?","**Answer:**
I understand how important this feature is for your business, and I sincerely apologize for the inconvenience.  
At the moment, this feature is **not available** in the Vyapar app. However, I will **record your feedback** and share it with our product team.

If this feature is added in the future, Vyapar will notify users through updates or announcements.  
Thank you for sharing your feedback—it helps us improve the product.
","- Yeh feature app me kyu nahi hai?
- Mujhe yeh feature chahiye hi chahiye
- App me kaam ka feature missing hai
- Main is feature ke bina kaam nahi kar pa raha
"
A user says a Vyapar agent made an incorrect promise during license purchase. How should this be handled?,"**Answer:**
I’m really sorry to hear that you were given incorrect information. I understand how frustrating this situation can be.  
I will **note your feedback** and **share it with the concerned team** so they can review the issue and take appropriate action.

Thank you for bringing this to our attention.
","- Agent ne galat promise kiya tha
- Mujhe bola gaya tha yeh feature milega
- Purchase ke time galat information di gayi
"
"I made a referral, but I have not received the referral benefit yet. What should I do?","**Answer:**
Referral verification and benefit allocation are handled from the backend.

➡️ **Escalate the case to a senior agent** and share your referral details.  
The senior agent will verify the referral and inform you of the exact reason for the delay.
","- Maine referral kiya par benefit nahi mila
- Referral ka reward abhi tak add nahi hua
- Referral ka status kaise check karein?
"
What payment methods are available to purchase a Vyapar license?,"There are **two payment methods** available to purchase a Vyapar license:

#### **1. Online Payment**
- Go to **Menu → Plans & Pricing**
- Choose the duration
- Select the plan
- Click **Buy Now**
- View the final price
- Click **Pay**
- Choose an online payment method and complete the payment

#### **2. Offline Payment**
- Go to **Menu → Plans & Pricing**
- Click the **three dots (top-right corner)**
- Select **Offline Payment**
- Vyapar’s bank details will be shown

**Note:**  
After completing offline payment, email **help@vyaparapp.in** or contact Vyapar support with payment details.  
The team will verify the payment and generate the license.
","- Vyapar license ka payment kaise kar sakte hain?
- Online aur offline payment available hai kya?
- Bank transfer se license le sakte hain kya?
"
I have multiple companies. Do I need separate licenses for each company?,"**Answer:**
No. You **do not need separate licenses for each company**.

Vyapar licenses are **device-based**, not company-based.  
You can manage **multiple companies on the same device** using one license, as long as you stay within the **company limit of your plan**.

If the company limit is exceeded, extra companies will be locked.  
To unlock them, upgrade to a higher plan.
","- Har company ke liye alag license chahiye kya?
- Ek license me multiple company use kar sakte hain?
"
"When I open Plans & Pricing, I see a white screen. What should I do?","**Answer:**
This is a technical issue.

➡️ **Escalate the case to a senior agent** for further investigation and resolution.
","- Plans & Pricing open nahi ho raha
- White screen aa rahi hai
- Page load nahi ho raha
"
The customer wants to change the license number but does not have the registered number or payment proof. What should be done?,"**Answer:**
This request cannot be handled at the basic support level.

➡️ **Escalate the case to a senior agent** for backend verification and assistance.
",
